x,y,z,t
-5.79616,-0.817483,0.0173596,2.31
-5.78786,-0.877098,0.0173644,2.32
-5.77896,-0.936746,0.01737,2.33
-5.76947,-0.996422,0.0173766,2.34
-5.75938,-1.05612,0.017384,2.35
-5.7487,-1.11583,0.0173924,2.36
-5.73741,-1.17555,0.0174016,2.37
-5.72553,-1.23528,0.0174118,2.38
-5.71306,-1.295,0.0174228,2.39
-5.69998,-1.35472,0.0174348,2.4
-5.68631,-1.41442,0.0174477,2.41
-5.67204,-1.4741,0.0174615,2.42
-5.65718,-1.53376,0.0174762,2.43
-5.64172,-1.59338,0.0174919,2.44
-5.62566,-1.65296,0.0175085,2.45
-5.60901,-1.7125,0.017526,2.46
-5.59176,-1.77199,0.0175445,2.47
-5.57392,-1.83142,0.0175638,2.48
-5.55548,-1.89079,0.0175842,2.49
-5.53645,-1.95009,0.0176055,2.5
-5.51683,-2.00932,0.0176277,2.51
-5.49662,-2.06847,0.0176509,2.52
-5.47582,-2.12752,0.0176751,2.53
-5.45442,-2.18649,0.0177003,2.54
-5.43244,-2.24536,0.0177264,2.55
-5.40987,-2.30412,0.0177535,2.56
-5.38672,-2.36277,0.0177816,2.57
-5.36297,-2.4213,0.0178107,2.58
-5.33865,-2.47971,0.0178408,2.59
-5.31374,-2.53799,0.0178719,2.6
-5.28824,-2.59614,0.0179041,2.61
-5.26217,-2.65414,0.0179373,2.62
-5.23552,-2.71199,0.0179715,2.63
-5.20829,-2.76969,0.0180067,2.64
-5.18049,-2.82724,0.018043,2.65
-5.15211,-2.88461,0.0180804,2.66
-5.12316,-2.94181,0.0181188,2.67
-5.09364,-2.99884,0.0181583,2.68
-5.06354,-3.05568,0.0181989,2.69
-5.03289,-3.11233,0.0182406,2.7
-5.00166,-3.16879,0.0182834,2.71
-4.96988,-3.22504,0.0183274,2.72
-4.93753,-3.28108,0.0183724,2.73
-4.90462,-3.33691,0.0184186,2.74
-4.87116,-3.39252,0.018466,2.75
-4.83714,-3.4479,0.0185145,2.76
-4.80257,-3.50305,0.0185642,2.77
-4.76745,-3.55796,0.0186151,2.78
-4.73179,-3.61263,0.0186671,2.79
-4.69558,-3.66705,0.0187204,2.8
-4.65882,-3.72121,0.018775,2.81
-4.62153,-3.77511,0.0188307,2.82
-4.5837,-3.82874,0.0188877,2.83
-4.54533,-3.88209,0.018946,2.84
-4.50644,-3.93517,0.0190056,2.85
-4.46701,-3.98796,0.0190664,2.86
-4.42706,-4.04046,0.0191286,2.87
-4.38658,-4.09266,0.0191921,2.88
-4.34559,-4.14456,0.019257,2.89
-4.30408,-4.19615,0.0193232,2.9
-4.26205,-4.24743,0.0193907,2.91
-4.21952,-4.29838,0.0194597,2.92
-4.17648,-4.34901,0.0195301,2.93
-4.13293,-4.3993,0.019602,2.94
-4.08888,-4.44926,0.0196752,2.95
-4.04434,-4.49888,0.01975,2.96
-3.9993,-4.54814,0.0198262,2.97
-3.95378,-4.59705,0.019904,2.98
-3.90776,-4.6456,0.0199833,2.99
-3.86126,-4.69379,0.0200641,3
-3.81429,-4.7416,0.0201465,3.01
-3.76684,-4.78904,0.0202305,3.02
-3.71891,-4.83609,0.0203161,3.03
-3.67052,-4.88276,0.0204034,3.04
-3.62167,-4.92903,0.0204923,3.05
-3.57235,-4.97491,0.020583,3.06
-3.52258,-5.02038,0.0206753,3.07
-3.47236,-5.06544,0.0207694,3.08
-3.42169,-5.11009,0.0208652,3.09
-3.37058,-5.15431,0.0209629,3.1
-3.31902,-5.19811,0.0210623,3.11
-3.26704,-5.24148,0.0211636,3.12
-3.21462,-5.28442,0.0212668,3.13
-3.16178,-5.32691,0.0213719,3.14
-3.10851,-5.36896,0.021479,3.15
-3.05483,-5.41056,0.021588,3.16
-3.00073,-5.4517,0.021699,3.17
-2.94623,-5.49238,0.0218121,3.18
-2.89132,-5.53259,0.0219272,3.19
-2.83602,-5.57233,0.0220444,3.2
-2.78032,-5.6116,0.0221638,3.21
-2.72423,-5.65038,0.0222853,3.22
-2.66776,-5.68868,0.022409,3.23
-2.61091,-5.72649,0.022535,3.24
-2.55368,-5.7638,0.0226633,3.25
-2.49609,-5.80062,0.0227939,3.26
-2.43813,-5.83693,0.0229269,3.27
-2.37981,-5.87273,0.0230623,3.28
-2.32113,-5.90801,0.0232002,3.29
-2.26211,-5.94278,0.0233405,3.3
-2.20275,-5.97702,0.0234834,3.31
-2.14304,-6.01074,0.0236288,3.32
-2.08301,-6.04393,0.0237769,3.33
-2.02264,-6.07657,0.0239277,3.34
-1.96196,-6.10868,0.0240813,3.35
-1.90095,-6.14025,0.0242376,3.36
-1.83964,-6.17126,0.0243967,3.37
-1.77802,-6.20172,0.0245587,3.38
-1.7161,-6.23163,0.0247237,3.39
-1.65388,-6.26097,0.0248917,3.4
-1.59138,-6.28975,0.0250627,3.41
-1.52859,-6.31796,0.0252369,3.42
-1.46552,-6.34559,0.0254142,3.43
-1.40219,-6.37265,0.0255948,3.44
-1.33858,-6.39912,0.0257786,3.45
-1.27472,-6.42501,0.0259659,3.46
-1.21061,-6.45032,0.0261566,3.47
-1.14624,-6.47503,0.0263508,3.48
-1.08163,-6.49914,0.0265485,3.49
-1.01679,-6.52265,0.0267499,3.5
-0.951718,-6.54557,0.0269551,3.51
-0.886421,-6.56787,0.027164,3.52
-0.820906,-6.58956,0.0273768,3.53
-0.755179,-6.61065,0.0275936,3.54
-0.689247,-6.63111,0.0278144,3.55
-0.623115,-6.65095,0.0280394,3.56
-0.556791,-6.67017,0.0282685,3.57
-0.490279,-6.68877,0.028502,3.58
-0.423588,-6.70673,0.0287399,3.59
