x,y,z,t
6.57646,-9.21897,0.101007,2.64
6.66764,-9.17164,0.103892,2.65
6.75832,-9.12331,0.106898,2.66
6.84848,-9.07397,0.110029,2.67
6.93812,-9.02364,0.113293,2.68
7.02722,-8.9723,0.116695,2.69
7.11578,-8.91998,0.120244,2.7
7.20378,-8.86666,0.123946,2.71
7.2912,-8.81235,0.12781,2.72
7.37805,-8.75707,0.131844,2.73
7.4643,-8.7008,0.136056,2.74
7.54995,-8.64356,0.140457,2.75
7.63498,-8.58535,0.145055,2.76
7.71938,-8.52617,0.149862,2.77
7.80315,-8.46603,0.154888,2.78
7.88626,-8.40493,0.160146,2.79
7.9687,-8.34287,0.165647,2.8
8.05048,-8.27987,0.171405,2.81
8.13156,-8.21593,0.177434,2.82
8.21195,-8.15104,0.183748,2.83
8.29162,-8.08523,0.190364,2.84
8.37057,-8.01848,0.197297,2.85
8.44878,-7.95081,0.204566,2.86
8.52624,-7.88223,0.21219,2.87
8.60294,-7.81273,0.220187,2.88
8.67887,-7.74232,0.228578,2.89
8.75401,-7.67102,0.237387,2.9
8.82834,-7.59882,0.246637,2.91
8.90186,-7.52574,0.256353,2.92
8.97456,-7.45177,0.266561,2.93
9.04641,-7.37693,0.27729,2.94
9.11741,-7.30122,0.288569,2.95
9.18753,-7.22464,0.300431,2.96
9.25677,-7.14722,0.312908,2.97
9.32512,-7.06895,0.326038,2.98
9.39255,-6.98983,0.339857,2.99
9.45905,-6.90989,0.354406,3
9.5246,-6.82912,0.369728,3.01
9.58919,-6.74753,0.385869,3.02
9.65281,-6.66513,0.402876,3.03
9.71543,-6.58193,0.420801,3.04
9.77705,-6.49794,0.439698,3.05
9.83763,-6.41317,0.459625,3.06
9.89716,-6.32762,0.480643,3.07
9.95563,-6.2413,0.502816,3.08
10.013,-6.15423,0.526214,3.09
10.0693,-6.06641,0.55091,3.1
10.1245,-5.97785,0.57698,3.11
10.1785,-5.88856,0.604509,3.12
10.2313,-5.79855,0.633581,3.13
10.283,-5.70783,0.664291,3.14
10.3334,-5.61642,0.696735,3.15
10.3826,-5.52432,0.731017,3.16
10.4305,-5.43154,0.767248,3.17
10.4772,-5.3381,0.805543,3.18
10.5225,-5.244,0.846025,3.19
10.5665,-5.14927,0.888824,3.2
10.6091,-5.0539,0.934079,3.21
10.6503,-4.95792,0.981933,3.22
10.69,-4.86133,1.03254,3.23
10.7283,-4.76415,1.08607,3.24
10.7651,-4.6664,1.14268,3.25
10.8003,-4.56808,1.20255,3.26
10.834,-4.46921,1.26589,3.27
10.866,-4.36981,1.33288,3.28
10.8964,-4.26989,1.40374,3.29
10.9251,-4.16947,1.47868,3.3
10.952,-4.06856,1.55794,3.31
10.9771,-3.96717,1.64176,3.32
11.0003,-3.86534,1.7304,3.33
11.0217,-3.76306,1.82412,3.34
11.0411,-3.66037,1.92319,3.35
11.0584,-3.55728,2.02791,3.36
11.0737,-3.45381,2.13857,3.37
11.0869,-3.34998,2.25549,3.38
11.0978,-3.24582,2.379,3.39
11.1065,-3.14133,2.50941,3.4
11.1128,-3.03655,2.64708,3.41
11.1167,-2.93149,2.79236,3.42
11.1181,-2.82619,2.94562,3.43
11.1169,-2.72066,3.10721,3.44
11.113,-2.61493,3.27753,3.45
11.1064,-2.50903,3.45694,3.46
11.0969,-2.40299,3.64584,3.47
11.0845,-2.29682,3.8446,3.48
11.069,-2.19057,4.05361,3.49
11.0504,-2.08426,4.27325,3.5
11.0285,-1.97793,4.50389,3.51
11.0032,-1.8716,4.74588,3.52
10.9745,-1.76531,4.99956,3.53
10.9422,-1.65909,5.26527,3.54
10.9061,-1.55299,5.54328,3.55
10.8662,-1.44703,5.83387,3.56
10.8223,-1.34127,6.13726,3.57
