x,y,z,t
-0.181679,-0.119785,0.0339543,2.6
-0.18081,-0.121839,0.0339573,2.61
-0.179921,-0.123889,0.0339604,2.62
-0.179012,-0.125933,0.0339636,2.63
-0.178082,-0.127973,0.0339669,2.64
-0.177132,-0.130007,0.0339704,2.65
-0.176161,-0.132035,0.0339739,2.66
-0.17517,-0.134058,0.0339776,2.67
-0.17416,-0.136075,0.0339815,2.68
-0.173129,-0.138085,0.0339854,2.69
-0.172078,-0.14009,0.0339894,2.7
-0.171007,-0.142087,0.0339936,2.71
-0.169916,-0.144078,0.0339979,2.72
-0.168805,-0.146062,0.0340023,2.73
-0.167675,-0.148038,0.0340068,2.74
-0.166524,-0.150007,0.0340115,2.75
-0.165355,-0.151969,0.0340163,2.76
-0.164165,-0.153922,0.0340211,2.77
-0.162957,-0.155868,0.0340261,2.78
-0.161729,-0.157805,0.0340313,2.79
-0.160481,-0.159733,0.0340365,2.8
-0.159215,-0.161653,0.0340419,2.81
-0.157929,-0.163564,0.0340473,2.82
-0.156624,-0.165466,0.0340529,2.83
-0.155301,-0.167358,0.0340586,2.84
-0.153958,-0.169241,0.0340645,2.85
-0.152597,-0.171115,0.0340704,2.86
-0.151218,-0.172978,0.0340764,2.87
-0.149819,-0.174831,0.0340826,2.88
-0.148403,-0.176673,0.0340889,2.89
-0.146968,-0.178505,0.0340953,2.9
-0.145515,-0.180327,0.0341018,2.91
-0.144043,-0.182137,0.0341085,2.92
-0.142554,-0.183936,0.0341152,2.93
-0.141047,-0.185724,0.0341221,2.94
-0.139522,-0.1875,0.034129,2.95
-0.13798,-0.189264,0.0341361,2.96
-0.13642,-0.191016,0.0341433,2.97
-0.134842,-0.192756,0.0341506,2.98
-0.133247,-0.194484,0.034158,2.99
-0.131636,-0.196199,0.0341656,3
-0.130007,-0.197902,0.0341732,3.01
-0.128361,-0.199591,0.034181,3.02
-0.126699,-0.201267,0.0341888,3.03
-0.12502,-0.20293,0.0341968,3.04
-0.123324,-0.204579,0.0342049,3.05
-0.121612,-0.206215,0.0342131,3.06
-0.119884,-0.207836,0.0342214,3.07
-0.11814,-0.209444,0.0342298,3.08
-0.11638,-0.211037,0.0342383,3.09
-0.114604,-0.212615,0.0342469,3.1
-0.112813,-0.214179,0.0342557,3.11
-0.111006,-0.215728,0.0342645,3.12
-0.109183,-0.217262,0.0342734,3.13
-0.107346,-0.218781,0.0342825,3.14
-0.105493,-0.220284,0.0342916,3.15
-0.103626,-0.221772,0.0343009,3.16
-0.101744,-0.223244,0.0343102,3.17
-0.0998474,-0.2247,0.0343197,3.18
-0.0979365,-0.226139,0.0343293,3.19
-0.0960113,-0.227563,0.0343389,3.2
-0.094072,-0.22897,0.0343487,3.21
-0.0921189,-0.23036,0.0343585,3.22
-0.0901521,-0.231734,0.0343685,3.23
-0.0881717,-0.23309,0.0343786,3.24
-0.0861779,-0.234429,0.0343887,3.25
-0.0841709,-0.235751,0.034399,3.26
-0.0821509,-0.237056,0.0344093,3.27
-0.080118,-0.238342,0.0344198,3.28
-0.0780725,-0.239611,0.0344303,3.29
-0.0760145,-0.240862,0.034441,3.3
-0.0739441,-0.242095,0.0344517,3.31
-0.0718617,-0.243309,0.0344625,3.32
-0.0697673,-0.244505,0.0344734,3.33
-0.0676611,-0.245683,0.0344844,3.34
-0.0655434,-0.246841,0.0344955,3.35
-0.0634142,-0.247981,0.0345067,3.36
-0.0612739,-0.249101,0.034518,3.37
-0.0591226,-0.250203,0.0345294,3.38
-0.0569605,-0.251285,0.0345408,3.39
-0.0547878,-0.252347,0.0345524,3.4
-0.0526047,-0.25339,0.034564,3.41
-0.0504114,-0.254413,0.0345757,3.42
-0.048208,-0.255416,0.0345875,3.43
-0.0459949,-0.256398,0.0345994,3.44
-0.0437721,-0.257361,0.0346114,3.45
-0.04154,-0.258303,0.0346234,3.46
-0.0392986,-0.259225,0.0346355,3.47
-0.0370482,-0.260126,0.0346477,3.48
-0.0347891,-0.261006,0.03466,3.49
-0.0325214,-0.261866,0.0346724,3.5
-0.0302453,-0.262704,0.0346848,3.51
-0.0279611,-0.263522,0.0346973,3.52
-0.0256689,-0.264318,0.0347099,3.53
-0.023369,-0.265092,0.0347226,3.54
-0.0210616,-0.265845,0.0347353,3.55
-0.0187468,-0.266577,0.0347481,3.56
-0.0164251,-0.267287,0.034761,3.57
-0.0140964,-0.267974,0.0347739,3.58
-0.0117611,-0.26864,0.034787,3.59
-0.00941942,-0.269284,0.0348,3.6
-0.00707152,-0.269906,0.0348132,3.61
-0.00471764,-0.270505,0.0348264,3.62
-0.00235802,-0.271082,0.0348397,3.63
7.13279e-06,-0.271637,0.034853,3.64
0.00237758,-0.272168,0.0348665,3.65
0.0047531,-0.272678,0.0348799,3.66
0.00713346,-0.273164,0.0348935,3.67
0.00951843,-0.273628,0.0349071,3.68
0.0119078,-0.274068,0.0349207,3.69
0.0143013,-0.274486,0.0349344,3.7
0.0166987,-0.27488,0.0349482,3.71
0.0190999,-0.275251,0.034962,3.72
0.0215045,-0.275599,0.0349759,3.73
0.0239123,-0.275924,0.0349898,3.74
0.026323,-0.276225,0.0350038,3.75
0.0287366,-0.276502,0.0350178,3.76
0.0311527,-0.276756,0.0350319,3.77
0.033571,-0.276986,0.035046,3.78
0.0359914,-0.277192,0.0350601,3.79
0.0384136,-0.277375,0.0350744,3.8
0.0408373,-0.277533,0.0350886,3.81
0.0432624,-0.277668,0.0351029,3.82
0.0456885,-0.277779,0.0351173,3.83
0.0481155,-0.277866,0.0351316,3.84
0.0505431,-0.277928,0.0351461,3.85
0.0529711,-0.277966,0.0351605,3.86
0.0553992,-0.27798,0.035175,3.87
0.0578271,-0.27797,0.0351895,3.88
0.0602547,-0.277936,0.0352041,3.89
0.0626817,-0.277877,0.0352187,3.9
0.0651078,-0.277794,0.0352333,3.91
